Date,Description,Link,EarningRelated
19/08/2022 00:00:00,Fairfax County PD Deploys Axon's My90 Feedback Tool to Better Engage with Community,,0
10/08/2022 00:00:00,Axon Names Brittany Bagley as New Chief Financial Officer and Chief Business Officer,,0
09/08/2022 00:00:00,Axon Reports Record Revenue Up 31% to $286 million; Raises Full-Year Outlook,,1
27/07/2022 00:00:00,"Axon to Release Second Quarter 2022 Earnings on August 9, 2022",,1
18/07/2022 00:00:00,Several Major Cities Across Canada to Deploy Axon's TASER 7 Device,,0
13/07/2022 00:00:00,Axon Appoints Isaiah Fields as Chief Legal Officer,,0
09/06/2022 00:00:00,Axon Appoints Josh Isner as Chief Operating Officer,,0
02/06/2022 00:00:00,Axon Announces TASER Drone Development to Address Mass Shootings,,0
25/05/2022 00:00:00,Axon Announces 2022 RISE Award Winners,,0
24/05/2022 00:00:00,Axon Announces Availability of VR Simulator Training for Public Safety to Increase De-Escalation Training,,0
23/05/2022 00:00:00,Axon and Skydio Announce New Integration of Skydio Autonomous Drones with Axon Respond for Public Safety,,0
19/05/2022 00:00:00,Axon and Fūsus Partner to Provide Enhanced Real-Time Community Policing Solutions,,0
10/05/2022 00:00:00,"Axon Reports Q1 2022 Revenue Up 32% to $256 million, Raises Full Year Outlook",,1
04/05/2022 00:00:00,"Axon to Release First Quarter 2022 Earnings on May 10, 2022",,1
04/05/2022 00:00:00,Axon Announces CFO Transition,,0
18/04/2022 00:00:00,Columbus PD Partners with Axon to Outfit Officers with Next Generation In-Car and Body Camera Technology,,0
12/04/2022 00:00:00,Axon Announces New Community Coalition Members; Coalition Continues Work Promoting Responsible Development of Public Safety Technologies,,0
06/04/2022 00:00:00,Axon Announces Acquisition of Virtual Reality Training Studio 'Foundry 45',,0
31/03/2022 00:00:00,"São Paulo State Military Police to Deploy 7,000 Additional Axon Body 3 Cameras After Significant Increase in Lives Saved",,0
24/03/2022 00:00:00,Fresno PD First Major City to Deploy Axon Dispatch to Better Support First Responders,,0
17/03/2022 00:00:00,Axon Announces First Body-Worn Camera Deployment in the Maldives,,0
15/03/2022 00:00:00,New TASER StrikeLight for Self Defense is Both a Flashlight and Stun Device,,0
24/02/2022 00:00:00,Axon Reports 2021 Results: Third Straight Year of 25%+ Revenue Growth,,1
17/02/2022 00:00:00,"Axon to Release Fourth Quarter 2021 Earnings on February 24, 2022",,1
08/02/2022 00:00:00,Axon Announces New European R&D Office in London,,0
31/01/2022 00:00:00,Axon Director Dr. Richard Carmona Spearheads Shareholder-Friendly Governance Proposals; Concludes 15 Years of Board Service,,0
18/01/2022 00:00:00,Axon Announces New Consumer TASER Device That Alerts Emergency Dispatch When Fired,,0
12/01/2022 00:00:00,Dutch National Police Now Largest Netherlands Agency to Deploy TASER Devices,,0
15/12/2021 00:00:00,PRIMECorp Selects Axon Evidence to Connect All Police Services Across British Columbia,,0
08/12/2021 00:00:00,Axon Introduces Axon Attorney Premier; the First Digital Evidence Management System Designed Specifically For Prosecutors and Defense Attorneys,,0
15/11/2021 00:00:00,"Axon Reports Record Bookings of $0.5B in Q3, Up 70% YTD; Q3 Revenue up 39%; Raises 2022 Revenue Outlook to $1 Billion",,1
04/11/2021 00:00:00,Axon Announces Revised Date for Third Quarter 2021 Earnings Release and Conference Call,,1
03/11/2021 00:00:00,Axon Announces 2021 RISE Award Winners,,0
02/11/2021 00:00:00,Axon and Fotokite Bring Actively Tethered Autonomous Drones with Livestreaming and Evidence Management to Public Safety Today,,0
26/10/2021 00:00:00,"Axon to Release Third Quarter 2021 Earnings on November 9, 2021",,1
19/10/2021 00:00:00,Scottish Government Selects Axon Evidence to Connect All Public Safety Stakeholders,,0
12/10/2021 00:00:00,Air National Guard to Renew TASER Device Program,,0
24/09/2021 00:00:00,"Axon Announces Microsoft, Skydio and Verizon as Top Sponsors for 2021 Accelerate Conference",,0
22/09/2021 00:00:00,Puebla Municipal Police Partners with Axon for Largest TASER Device Deployment in Mexico,,0
31/08/2021 00:00:00,Six Flags Entertainment Partners With Axon To Implement Body-Worn Cameras At All U.S. Park Locations,,0
25/08/2021 00:00:00,Axon Furthers Commitment to Community Engagement with Acquisition of My90,,0
24/08/2021 00:00:00,Gujarat State Police Joins the Axon Network with Largest Body-Worn Camera Rollout in India,,0
09/08/2021 00:00:00,TASER Self-Defense Partners with Kryptek to Launch Limited Edition Personal Self-Defense Product,,0
05/08/2021 00:00:00,Axon Q2 2021 Revenue of $219 Million Up 55%; International Revenue Grows 60%; Raising Outlook,,0
22/07/2021 00:00:00,"Axon to Release Second Quarter 2021 Earnings on August 5, 2021",,1
16/07/2021 00:00:00,Virginia Beach PD Latest MCCA Member to Join the Axon Network,,0
13/07/2021 00:00:00,Italy to Deploy Axon TASER Devices for the First Time to Officers Nationwide,,0
09/07/2021 00:00:00,Toronto Police Service to Expand TASER Device Program,,0
30/06/2021 00:00:00,Axon Fleet 3 Has Arrived: Next Generation In-Car Video System with ALPR Now Shipping to Public Safety Agencies,,0
29/06/2021 00:00:00,Piedmont Healthcare Partners with Axon to Provide De-escalation Tools to Hospitals,,0
15/06/2021 00:00:00,Axon and DroneSense Partner to Bring State-of-the-Art Situational Awareness and Drone Management Software to Public Safety,,0
10/06/2021 00:00:00,São Paulo State Military Police Partners with Axon to Implement Largest Body-Worn Camera and Digital Evidence Management Project in Latin America,,0
13/05/2021 00:00:00,Axon Partners with NTOA to Design and Develop Next-Generation Use of Force Training,,0
11/05/2021 00:00:00,Axon Launches New Virtual Reality Simulator Training for Today's Public Safety Challenges,,0
06/05/2021 00:00:00,"Axon Q1 2021 Revenue Up 33% on Strong Product Demand, International Expansion, Raising Full-Year Outlook",,0
26/04/2021 00:00:00,"Axon to Release First Quarter 2021 Earnings on May 6, 2021",,1
22/04/2021 00:00:00,Axon Partners with RapidSOS to Deliver Real Time Data to 911 Telecommunicators & First Responders,,0
12/03/2021 00:00:00,Commercial and Private Security Sectors Can Now Benefit From The Axon Network,,0
11/03/2021 00:00:00,"Axon and Skydio Partner to Bring US-Manufactured, AI-Powered Autonomous Drones to Public Safety",,0
04/03/2021 00:00:00,"Axon Releases 2021 Environmental, Social and Governance Report",,0
03/03/2021 00:00:00,Government of Ontario Deploys Axon Evidence Across Public Safety Agencies,,0
02/03/2021 00:00:00,"Thunder Bay Police Service to Outfit Officers with Body Cameras, Training and De-escalation Tools",,0
25/02/2021 00:00:00,"Axon (AXON) Reports 2020 Revenue of $681 Million, Up 28%, Raises 2021 Outlook",,1
11/02/2021 00:00:00,"Axon to Release Fourth Quarter and Full Year 2020 Earnings on February 25, 2021",,1
09/02/2021 00:00:00,Axon And Cellebrite Partner to Help Manage and Safeguard Digital Intelligence,,0
25/01/2021 00:00:00,"Axon Enterprise To Change Nasdaq Symbol to ""AXON""",,0
15/01/2021 00:00:00,Los Angeles Police Department Renews Contract With Axon; Becomes Largest TASER 7 Deployment,,0
15/01/2021 00:00:00,Axon Announces Body-Worn Camera Partnership with Private Security Company Cancom,,0
16/12/2020 00:00:00,"Axon and Green Bay Packers Partner to Help Equip Green Bay Police with Body Cameras, Training and De-escalation Tools",,0
10/12/2020 00:00:00,"Former Seattle Police Chief to Join Axon's AI Ethics Board, Promoting Responsible Development of AI Technologies",,0
05/11/2020 00:00:00,"Axon Reports Q3 2020 Revenue Growth of 27%, ARR Tops $200 million, Up 44%",,1
28/10/2020 00:00:00,"Axon's Sprint for Justice Initiative Delivers New Product Features Focused on Transparency, Truth and Officer Development",,0
22/10/2020 00:00:00,"Axon to Release Third Quarter 2020 Earnings on November 5, 2020",,1
21/10/2020 00:00:00,Kativik Regional Police Force to Deploy Axon Body Cameras Backed by Axon Evidence In All 14 Communities of Nunavik Region,,0
30/09/2020 00:00:00,Axon Partners with U.S. Customs & Border Protection to Support Agents with Body Cameras & Digital Evidence Management System,,0
24/09/2020 00:00:00,First Major Police Agency in Ukraine to Deploy TASER Devices,,0
10/09/2020 00:00:00,Axon Announces Participation at Raymond James North American Equities Conference,,0
28/08/2020 00:00:00,Axon's TASER 7 Conducted Energy Device Approved for Deployment Across UK Police Forces,,0
27/08/2020 00:00:00,Axon Announces Record-Breaking Attendance at First Virtual Accelerate User Conference,,0
25/08/2020 00:00:00,Announcing Axon Auto-Transcribe with Hypermedia Player: Accelerating Evidence Review,,0
25/08/2020 00:00:00,Axon's New Virtual Reality Training for Law Enforcement Features Peer Intervention and Expanded Tools for De-escalation,,0
25/08/2020 00:00:00,Announcing Axon Respond: New Real-Time Operations Platform Revolutionizes 911 and Public Safety,,0
25/08/2020 00:00:00,Axon Partners with Fotokite to Offer Fully Autonomous Drone Technology to Law Enforcement via Axon Air Program,,0
21/08/2020 00:00:00,Toronto Police Service Goes All-In with Axon Body Cameras and Digital Evidence Management Software; Commits to Providing Transparency and Accountability for its Community,,0
20/08/2020 00:00:00,Getting to the Truth Faster; Axon Partners with iNPUT-ACE to Allow Law Enforcement to Play Third Party Videos in Axon Evidence,,0
06/08/2020 00:00:00,"Axon Reports Strong Second Quarter Revenue up 26%; International Revenue up 80%, Annual Recurring Revenue up 42%",,1
04/08/2020 00:00:00,"Axon Announces Microsoft, Verizon, Cradlepoint and FirstNet, Built with AT&T as Sponsors for Axon Accelerate, Now in its Fifth Year",,0
24/07/2020 00:00:00,"Axon to Release Second Quarter 2020 Earnings on August 6, 2020",,1
23/07/2020 00:00:00,Axon Announces Regina Holloway as New VP of Community Impact,,0
08/07/2020 00:00:00,"Baltimore Police Department Deploys Axon Records, a Cloud-Based RMS Solution, Agency-wide",,0
16/06/2020 00:00:00,Axon Announces Pricing of Public Offering of Common Stock,,0
15/06/2020 00:00:00,Axon Announces Proposed Public Offering of Common Stock,,0
03/06/2020 00:00:00,Axon Appoints Venture Partner and Global Business Leader Adriane Brown to Board of Directors,,0
13/05/2020 00:00:00,Axon Public Safety Canada Announces Partnership with British Columbia Women in Law Enforcement,,0
13/05/2020 00:00:00,Axon Launches Mobile App for Body Camera with Remote Livestreaming and Critical Real-Time Alerts,,0
07/05/2020 00:00:00,"Axon Reports Strong First Quarter Results; Axon Dispatch Is Live, Record International Sales, Pipeline is Robust",,1
23/04/2020 00:00:00,"Axon to Release First Quarter 2020 Earnings on May 7, 2020",,1
09/04/2020 00:00:00,Axon Announces Campaign to Provide 1 Million Masks to First Responders,,0
02/04/2020 00:00:00,Axon Partners with Flock Safety to Enhance Security for Cities and Neighborhoods,,0
26/03/2020 00:00:00,Axon Responds to COVID-19 Emergency By Offering Up Digital Evidence Gathering Platform to Public Safety Agencies Worldwide,,0
18/03/2020 00:00:00,Axon Announces New SVP of Artificial Intelligence,,0
17/03/2020 00:00:00,Axon Announces Three New Members to AI Ethics Board,,0
13/03/2020 00:00:00,Tsuu T'ina Nation Police Service is Canada's First Law Enforcement Agency to Deploy Axon Air,,0
11/03/2020 00:00:00,Axon to Participate in the 2020 Annual Border Security Exposition,,0
27/02/2020 00:00:00,"Axon 2019 Revenue Grows 26% to $531 Million; SaaS ARR up 49%, Setting Foundation for Continued Growth & Momentum",,0
20/02/2020 00:00:00,Axon Launches First Connected App for Law Enforcement that Livestreams Drone Video Directly into Axon Evidence,,0
18/02/2020 00:00:00,Cincinnati Police Department Becomes First Major City to Complete Roll Out of Axon Body 3 Camera with Live Streaming for All Officers,,0
13/02/2020 00:00:00,"Axon to Release Fourth Quarter and Full Year 2019 Earnings on February 27, 2020",,1
10/02/2020 00:00:00,"Axon Partners with Bureau of Alcohol, Tobacco, Firearms and Explosives to Support Federal Joint Task Forces with Body Cameras and Digital Evidence Management System",,0
22/01/2020 00:00:00,Axon Announces Cypress Creek EMS as First Ambulance Provider to Deploy Axon Fleet In-Car Video System,,0
10/01/2020 00:00:00,Axon to Participate in the 22nd Annual Needham Growth Conference,,0
03/01/2020 00:00:00,Axon Sues FTC for Alleged Violation of US Constitution,,0
18/12/2019 00:00:00,Axon Announces Australian Federal Police as First Asia-Pacific Agency to Roll Out TASER 7 Conducted Energy Weapons,,0
11/12/2019 00:00:00,Corrective Services New South Wales Deploys Axon Body-Worn Cameras Backed by Digital Evidence Management Solution,,0
27/11/2019 00:00:00,Axon Partners with the Halton Regional Police Service for VR Training; First Canadian Agency to Deploy Axon's Empathy-Based Training Program,,0
26/11/2019 00:00:00,TASER Self-Defense Partners with Krav Maga Worldwide to Bring Safety Tips to Holiday Shoppers,,0
14/11/2019 00:00:00,Axon Announces Participation in 2019 MIT Sloan CFO Summit,,0
07/11/2019 00:00:00,Axon Reports Record Revenue of $131 million; Axon Cloud Grows 42%; Raising Full-Year Revenue Outlook to $500-$510 million,,1
24/10/2019 00:00:00,"Axon to Release Third Quarter 2019 Earnings on November 7, 2019",,1
23/10/2019 00:00:00,Axon Announces AI-Powered In-Car License Plate Reader System Built With Ethical Design and Privacy-Centric Framework,,0
22/10/2019 00:00:00,Cincinnati Police Department Deploys Axon Records and Axon Body 3 Agencywide,,0
03/10/2019 00:00:00,Canada's York Regional Police to Roll Out Axon Fleet In-Car Video Systems Backed by Axon Evidence,,0
03/10/2019 00:00:00,York Regional Police to Roll Out Axon Fleet In-Car Video Systems Backed by Axon Evidence,,0
01/10/2019 00:00:00,"Axon's New RMS Solution, Axon Records, Now Being Deployed By Fresno Police Department",,0
30/09/2019 00:00:00,"United States Forest Service is First Federal Law Enforcement Agency to Fully Adopt the Axon Ecosystem with TASER Weapons, Body Cameras and Axon Evidence",,0
24/09/2019 00:00:00,Axon Announces Jeff Kunins as Chief Product Officer and Executive Vice President of Software,,0
23/09/2019 00:00:00,Axon Now Shipping Axon Body 3; First Connected Camera with Real-time Situational Awareness,,0
17/09/2019 00:00:00,Axon Launches Virtual Reality Suicide Empathy Training For Law Enforcement,,0
09/09/2019 00:00:00,Axon Body 3 Now Certified by AT&T for FirstNet Nationwide Public Safety Communications Platform,,0
09/09/2019 00:00:00,Axon Achieves Wireless Carrier Certification From Verizon for Axon Body 3,,0
05/09/2019 00:00:00,Axon to Participate in CL King's 17th Annual Best Ideas Conference,,0
28/08/2019 00:00:00,Axon Appoints Facebook's Head of VR Hardware Caitlin Kalinowski to Board of Directors,,0
08/08/2019 00:00:00,Atlanta and Baltimore Police Departments and Orange County Sheriff's Office Deploy Axon's Officer Safety Plan 7+,,0
08/08/2019 00:00:00,"Axon Q2 2019: Record bookings of $142 million, up 60% on new product strength, adoption of Officer Safety Plan 7",,0
25/07/2019 00:00:00,Axon Announces First Successful Deployment of Axon Aid to Assist in Disaster Relief,,0
25/07/2019 00:00:00,"Axon to Release Second Quarter 2019 Earnings on August 8, 2019",,1
17/07/2019 00:00:00,Axon Announces Significant Orders for TASER Weapons from Agencies Across the U.S.,,0
18/06/2019 00:00:00,Axon Wins Digital Ally Patent Case,,0
04/06/2019 00:00:00,Dyfed-Powys Police Is First UK Force to Roll Out Axon Fleet 2 In-Car Video System,,0
22/05/2019 00:00:00,Axon Partners with Chicago Police Department for First VR Empathy Training Program; Debuts New Autism Empathy Training,,0
21/05/2019 00:00:00,"Axon CEO Releases The End of Killing, a Road Map to Solve One of Humanity's Biggest Problems",,0
09/05/2019 00:00:00,Axon Reports Record Q1 2019 Revenue; Raises Full Year Revenue Guidance; Reiterates Timeline for New Product Launches,,1
01/05/2019 00:00:00,Axon Announces Record Number of Attendees at the Leading Technology Conference for Public Safety,,0
30/04/2019 00:00:00,Axon Launches First Advanced AI-Powered Tool; Enables Agencies to More Quickly Share Evidence with the Public,,0
30/04/2019 00:00:00,Announcing Axon Performance; Agencies Now Able to Measure Officer Performance and Identify Training Needs Through Body Camera Footage,,0
29/04/2019 00:00:00,Axon Honors 2019 RISE Awards Winners for Community Commitment; Announces Partnership with Coffee with a Cop,,0
17/04/2019 00:00:00,"Axon to Release First Quarter 2019 Earnings on May 9, 2019",,1
16/04/2019 00:00:00,Axon Evidence Achieves US Government FedRAMP JAB Authorization,,0
11/04/2019 00:00:00,"The Axon Network Expands Through Canada with Kingston, Treaty Three, South Simcoe and Tsuu T'ina Nation Police Services Deploying Axon Evidence",,0
27/03/2019 00:00:00,"Western Australia Police Deploys More Than 4,000 Axon Body 2 Cameras; Becomes Sixth Australian Police Force to Join the Axon Network",,0
20/03/2019 00:00:00,"Australia Federal Police Goes All-In on TASER CEWs, Body Cameras and the Axon Network",,0
19/03/2019 00:00:00,Tennessee Highway Patrol Rolls Out Axon Fleet 2 Cameras to 700 Vehicles,,0
12/03/2019 00:00:00,Axon Expands AI and Policing Technology Ethics Board with New Members; Implements Bias Awareness Training,,0
28/02/2019 00:00:00,"Axon Announces Microsoft as Titanium Sponsor for Accelerate 2019, the Leading Technology Conference for Public Safety",,0
27/02/2019 00:00:00,Buffalo Police Department Rolls Out 550 Body-Worn Cameras for Patrol Officers; Now the 48th Major City to Join the Axon Network,,0
26/02/2019 00:00:00,Axon Delivers Record Q4 and Full Year 2018 Revenue and Bookings; Introduces 2019 Guidance,,0
13/02/2019 00:00:00,"Axon to Release Fourth Quarter and Full Year 2018 Earnings on February 26, 2019",,1
12/02/2019 00:00:00,Axon Shareholders Approve eXponential Stock Performance Plan,,0
06/02/2019 00:00:00,Former Oakley Design Leader Hans Moritz Joins Axon,,0
05/02/2019 00:00:00,Axon Public Safety Canada Announces Renewed Partnership with Atlantic and Ontario Women in Law Enforcement,,0
01/02/2019 00:00:00,Swedish Police Authority Becomes the First European National Police Force to Join the Axon Network,,0
24/01/2019 00:00:00,Brevard County Sheriff's Office and West Palm Beach Police Department Adopt TASER 7 Technology to Protect Their Communities,,0
09/01/2019 00:00:00,Axon to Participate in the 21st Annual Needham Growth Conference,,0
08/01/2019 00:00:00,First EMS Provider Joins Axon Network with Full Body Camera Deployment for Paramedics,,0
03/01/2019 00:00:00,Axon Employees Commit $75 Million into eXponential Stock Performance Plan,,0
19/12/2018 00:00:00,"Axon Offers Bold New High-Risk, High-Reward Stock Performance Plan to Employees and Future Recruits",,0
05/12/2018 00:00:00,The UK's Cumbria Constabulary Grows Public Evidence Submission with Axon Citizen,,0
04/12/2018 00:00:00,"Fort Lauderdale Police Department Joins Axon Network with 1,060 Axon Body 2 Camera Order",,0
14/11/2018 00:00:00,TASER Self-Defense Launches First Consumer TASER Device to Notify 911 When Deployed; Announces Partnership with Connected Safety Company Noonlight,,0
06/11/2018 00:00:00,Axon Q3 Results: Record Revenue of $105 million; Software Annual Recurring Revenue Exceeds $100 million,,0
25/10/2018 00:00:00,"Axon to Release Third Quarter 2018 Earnings on November 6, 2018",,1
25/10/2018 00:00:00,General Stan McChrystal to Deliver Keynote at Axon Accelerate 2019,,0
19/10/2018 00:00:00,Axon Academy Bootcamp Tour Offers Free TASER 7 Police Instructor Training,,0
18/10/2018 00:00:00,Baden-Württemberg is First German State to Fully Deploy Axon Body-Worn Cameras,,0
12/10/2018 00:00:00,"Jacksonville County Sheriff's Office Purchases 3,566 Axon Body 2 Cameras",,0
09/10/2018 00:00:00,Fort Worth Police Department and Nevada Highway Patrol Are the First Agencies to Purchase Axon's New TASER 7,,0
07/10/2018 00:00:00,Axon Announces Enhanced Empathy-Based Officer Training Platform for New TASER 7 Weapon,,0
06/10/2018 00:00:00,Axon Launches TASER 7 and Axon Body 3 with Free Records Management System,,0
02/10/2018 00:00:00,Axon To Unveil Next Generation TASER Weapon and Body Camera on October 6 at IACP,,0
20/09/2018 00:00:00,Boston Police Department Joins Forces with Axon for Body-Worn Camera Program,,0
10/08/2018 00:00:00,Charlotte Fire Department to Deploy Evidence.com; First Major City Fire Department to Join the Axon Network,,0
09/08/2018 00:00:00,Australia's Tasmania Police Joins the Axon Network; Rolls out 750 Axon Body Cameras,,0
08/08/2018 00:00:00,Axon Announces Strategic Wireless Collaboration with Verizon and Arrangement with AT&T to Improve Network Communications for Law Enforcement,,0
07/08/2018 00:00:00,Axon Reports Second Quarter Results; Software Annual Recurring Revenue of $93 Million,,1
31/07/2018 00:00:00,"Axon to Release Second Quarter 2018 Earnings on August 7, 2018",,1
16/07/2018 00:00:00,"Fredericton Police Force in Canada to Deploy On-Officer, In-Room Cameras and Digital Evidence Management on the Axon Network",,0
12/07/2018 00:00:00,"Axon Announces Orders for 10,113 TASER Smart Weapons",,0
10/07/2018 00:00:00,"Honolulu Police Department Purchases 1,200 Axon Body Cameras; Now the 45th Major City to Join the Axon Network",,0
09/07/2018 00:00:00,Calgary Police Service First Major City in Canada to Join the Axon Network,,0
20/06/2018 00:00:00,The UK's Cumbria Constabulary First to Deploy Axon Citizen for Officers,,0
06/06/2018 00:00:00,"Axon Announces Partnership with Milestone Systems, the Global Leader in Video Management Software",,0
05/06/2018 00:00:00,Axon Announces 2018 RISE Award Winners; Las Vegas Metro PD Officers Recognized for Valor,,0
05/06/2018 00:00:00,Axon Announces Next Generation Axon Fleet 2 In-Car Video System,,0
05/06/2018 00:00:00,Axon and DJI Announce Drone Partnership to Strengthen Law Enforcement Tools for Public Safety,,0
05/06/2018 00:00:00,Axon Citizen for Communities Now Available For Field Trials,,0
29/05/2018 00:00:00,Axon to Participate at Upcoming Investor Conferences,,0
24/05/2018 00:00:00,"Record Number of Attendees Expected at Axon Accelerate, the Third Annual Tech Conference for Public Safety",,0
21/05/2018 00:00:00,Axon Announces Closing of $246 Million Public Offering of Common Stock and Full Exercise of the Underwriters' Option to Purchase Additional Shares,,0
21/05/2018 00:00:00,Axon Announces First CJIS-Compliant Artificial Intelligence Training Center,,0
16/05/2018 00:00:00,Axon Announces Pricing of Public Offering of Common Stock,,0
14/05/2018 00:00:00,Axon Announces Proposed Public Offering of Common Stock,,0
08/05/2018 00:00:00,"Axon Reports Record Revenue of $101 million, GAAP EPS of $0.24",,1
04/05/2018 00:00:00,Axon Acquires VIEVU Camera Subsidiary from The Safariland Group and Announces Strategic Long-Term Holster Partnership,,0
30/04/2018 00:00:00,Axon to Release First Quarter 2018 Earnings on May 8,,1
26/04/2018 00:00:00,Axon Launches First Artificial Intelligence Ethics Board for Public Safety; Promotes Responsible Development of AI Technologies,,0
12/04/2018 00:00:00,Montgomery County Police Department Rolls Out Axon Fleet In-Car Cameras to 900 Patrol Vehicles,,0
10/04/2018 00:00:00,Chicago Police Department Now Fully Deployed with Axon's TASER Smart Weapons,,0
06/04/2018 00:00:00,Federal District Court Rules in Favor of Axon in PhaZZer Infringement Suit,,0
02/03/2018 00:00:00,Chicago Police Department Purchases 400 Axon Body-Worn Cameras; Now Fully Deployed,,0
01/03/2018 00:00:00,"Virginia Beach Police Department (MCC) Purchases 1,060 Axon Body and Fleet In-Car Cameras",,0
27/02/2018 00:00:00,Axon CEO Rick Smith Relinquishes Salary for Ten-Year Performance Plan,,0
27/02/2018 00:00:00,Axon Reports Record Revenue of $95 Million for Q4 2017 and $344 Million for Full Year 2017; Introduces 2018 Financial Guidance,,1
15/02/2018 00:00:00,"Axon Announces Orders for 12,000 TASER Smart Weapons",,0
14/02/2018 00:00:00,Fort Worth Police Department Kicks Off Agency-Wide Field Trial of Axon Citizen,,0
13/02/2018 00:00:00,Axon to Release Fourth Quarter 2017 Earnings on February 27,,1
13/02/2018 00:00:00,"Australia's Victoria Police to Deploy 11,000 Axon Body Cameras Backed by Evidence.com",,0
05/02/2018 00:00:00,Axon Hires Team of World-Renowned Imaging and VR/AR Experts Led by Juha Alakarhu,,0
25/01/2018 00:00:00,Axon Announces World Class Speaker Line-Up for 2018 Accelerate User Conference,,0
23/01/2018 00:00:00,Axon Announces Microsoft as Platinum Sponsor for Accelerate 2018 User Conference,,0
21/12/2017 00:00:00,Axon Promotes Key Leaders to Chief Revenue Officer and Chief Information Security Officer,,0
07/12/2017 00:00:00,"More Body-Worn Cameras, Less Use-of-Force: Study Reveals Compelling Correlation",,0
05/12/2017 00:00:00,"Charlotte-Mecklenburg Police Department Purchases 1,743 TASER X2 Smart Weapons",,0
30/11/2017 00:00:00,Axon to Participate at Upcoming Investor Conferences,,0
20/11/2017 00:00:00,"In time for holidays, TASER Self-Defense launches subscription box",,0
14/11/2017 00:00:00,Axon Case Study Reveals the Power of Police Body Camera Footage for Prosecuting Domestic Violence,,0
10/11/2017 00:00:00,"Axon to Host Investor and Analyst Meeting on November 16, 2017",,0
09/11/2017 00:00:00,First Two Major City Police Departments and One State and Provincial Police Agency to Deploy Axon Fleet In-Car Video System,,0
07/11/2017 00:00:00,Axon Reports Record Revenues over $90 Million in Third Quarter 2017,,1
06/11/2017 00:00:00,"New Public Evidence Submission Portal, Axon Citizen, Available Now in Canada",,0
31/10/2017 00:00:00,Axon to Release Third Quarter 2017 Earnings on November 7,,1
24/10/2017 00:00:00,Philadelphia Police Department Secures Agency-Wide Deployment on Axon Network,,0
23/10/2017 00:00:00,"87% of Police Officers Say Recruiting is a Challenge; Axon Launches ""I'm In"" Campaign to Offer Support",,0
23/10/2017 00:00:00,Axon Calls for Speaker Proposals for 2018 Accelerate User Conference,,0
20/10/2017 00:00:00,Richland County Sheriff's Department and Rock Hill Police Department will be First Agencies to Deploy Axon's Signal Sidearm Technology,,0
19/10/2017 00:00:00,"Announcing Axon Citizen, A New Public Evidence Submission Portal For U.S. Law Enforcement",,0
18/10/2017 00:00:00,LAPD Selects Axon AI Research Team as Official Artificial Intelligence Partner,,0
